first_name,last_name,middle_name,suffix,personal_email,position,barangay_id
Maria,Santos,Cruz,,maria.santos@gmail.com,SK Chairperson,SJB001
Juan,Dela Cruz,Reyes,Jr.,juan.delacruz@yahoo.com,SK Secretary,SJB001
Ana,Garcia,Lopez,,ana.garcia@hotmail.com,SK Treasurer,SJB002
Carlos,Rodriguez,Martinez,,carlos.rodriguez@gmail.com,SK Councilor,SJB002
Sofia,Mendoza,Villanueva,,sofia.mendoza@yahoo.com,SK Chairperson,SJB003
Miguel,Torres,Silva,,miguel.torres@gmail.com,SK Secretary,SJB003
Isabella,Fernandez,Morales,,isabella.fernandez@hotmail.com,SK Treasurer,SJB004
Diego,Ramirez,Castro,,diego.ramirez@gmail.com,SK Councilor,SJB004
Camila,Flores,Herrera,,camila.flores@yahoo.com,SK Chairperson,SJB005
Sebastian,Vargas,Ortega,,sebastian.vargas@gmail.com,SK Secretary,SJB005
Valentina,Castillo,Ruiz,,valentina.castillo@hotmail.com,SK Treasurer,SJB006
Mateo,Jimenez,Moreno,,mateo.jimenez@gmail.com,SK Councilor,SJB006
Lucia,Gutierrez,Alvarez,,lucia.gutierrez@yahoo.com,SK Chairperson,SJB007
Alejandro,Sanchez,Gomez,,alejandro.sanchez@gmail.com,SK Secretary,SJB007
Martina,Diaz,Perez,,martina.diaz@hotmail.com,SK Treasurer,SJB008

